day,distance,condition,fixed_distance
1,64.0,Control,10.0
1,75.2,Control,21.200000000000003
1,67.2,Control,13.200000000000003
1,60.800000000000004,Control,6.800000000000004
1,57.6,Control,3.6000000000000014
1,84.80000000000001,Control,30.80000000000001
1,115.2,Control,61.2
1,148.8,Control,94.80000000000001
1,104.0,Control,50.0
1,139.20000000000002,Control,85.20000000000002
1,113.60000000000001,Control,59.60000000000001
1,91.2,Control,37.2
1,99.2,Control,45.2
1,100.80000000000001,Control,46.80000000000001
1,70.4,Control,16.400000000000006
1,62.400000000000006,Control,8.400000000000006
1,62.400000000000006,Control,8.400000000000006
1,62.400000000000006,Control,8.400000000000006
1,72.0,Control,18.0
1,84.80000000000001,Control,30.80000000000001
1,144.0,Control,90.0
1,227.20000000000002,Control,173.20000000000002
1,107.2,Control,53.2
1,116.80000000000001,Control,62.80000000000001
1,137.6,Control,83.6
1,105.60000000000001,Control,51.60000000000001
1,75.2,Control,21.200000000000003
1,62.400000000000006,Control,8.400000000000006
1,73.60000000000001,Control,19.60000000000001
1,68.8,Control,14.799999999999997
1,67.2,Control,13.200000000000003
1,64.0,Control,10.0
1,91.2,Control,37.2
1,120.0,Control,66.0
1,124.80000000000001,Control,70.80000000000001
1,128.0,Control,74.0
1,177.60000000000002,Control,123.60000000000002
1,131.20000000000002,Control,77.20000000000002
1,89.60000000000001,Control,35.60000000000001
1,70.4,Control,16.400000000000006
1,62.400000000000006,Control,8.400000000000006
1,67.2,Control,13.200000000000003
1,70.4,Control,16.400000000000006
1,81.60000000000001,Control,27.60000000000001
1,124.80000000000001,Control,70.80000000000001
1,128.0,Control,74.0
1,105.60000000000001,Control,51.60000000000001
1,89.60000000000001,Control,35.60000000000001
1,78.4,Control,24.400000000000006
1,68.8,Control,14.799999999999997
1,76.80000000000001,Control,22.80000000000001
1,68.8,Control,14.799999999999997
1,81.60000000000001,Control,27.60000000000001
1,89.60000000000001,Control,35.60000000000001
1,110.4,Control,56.400000000000006
1,121.60000000000001,Control,67.60000000000001
1,172.8,Control,118.80000000000001
1,180.8,Control,126.80000000000001
1,120.0,Control,66.0
1,107.2,Control,53.2
1,86.4,Control,32.400000000000006
1,81.60000000000001,Control,27.60000000000001
1,78.4,Control,24.400000000000006
1,68.8,Control,14.799999999999997
1,78.4,Control,24.400000000000006
1,73.60000000000001,Control,19.60000000000001
1,91.2,Control,37.2
1,108.80000000000001,Control,54.80000000000001
1,128.0,Control,74.0
1,120.0,Control,66.0
1,94.4,Control,40.400000000000006
1,131.20000000000002,Control,77.20000000000002
1,118.4,Control,64.0
1,105.60000000000001,Control,51.2
1,102.4,Control,48.0
1,102.4,Control,48.0
1,88.0,Control,33.599999999999994
1,120.0,Control,65.6
1,134.4,Control,80.0
1,153.60000000000002,Control,99.20000000000002
1,161.60000000000002,Control,107.20000000000002
1,177.60000000000002,Control,123.20000000000002
1,190.4,Control,136.0
1,216.0,Control,161.6
1,182.4,Control,128.0
1,158.4,Control,104.0
1,152.0,Control,97.6
1,131.20000000000002,Control,76.80000000000001
1,116.80000000000001,Control,62.400000000000006
1,193.60000000000002,Control,139.20000000000002
1,217.60000000000002,Control,163.20000000000002
1,193.60000000000002,Control,139.20000000000002
1,168.0,Control,113.6
1,153.60000000000002,Control,99.20000000000002
1,131.20000000000002,Control,76.80000000000001
1,113.60000000000001,Control,59.2
1,104.0,Control,49.599999999999994
1,91.2,Control,36.8
1,110.4,Control,56.0
1,118.4,Control,64.0
1,97.60000000000001,Control,43.2
1,164.8,Control,110.4
1,139.20000000000002,Control,84.80000000000001
1,161.60000000000002,Control,107.20000000000002
1,163.20000000000002,Control,110.00000000000001
1,158.4,Control,105.2
1,132.8,Control,79.60000000000001
1,108.80000000000001,Control,55.60000000000001
1,142.4,Control,89.2
1,102.4,Control,49.2
1,99.2,Control,46.0
1,105.60000000000001,Control,52.400000000000006
1,132.8,Control,79.60000000000001
1,145.6,Control,92.39999999999999
1,134.4,Control,81.2
1,174.4,Control,121.2
1,172.8,Control,119.60000000000001
1,185.60000000000002,Control,132.40000000000003
1,148.8,Control,95.60000000000001
1,131.20000000000002,Control,78.00000000000001
1,113.60000000000001,Control,60.400000000000006
1,118.4,Control,65.2
1,108.80000000000001,Control,55.60000000000001
1,142.4,Control,89.2
1,112.0,Control,58.8
1,139.20000000000002,Control,86.00000000000001
1,155.20000000000002,Control,102.00000000000001
1,176.0,Control,122.8
1,211.20000000000002,Control,158.0
1,276.8,Control,223.60000000000002
1,190.4,Control,137.2
1,200.0,Control,146.8
1,163.20000000000002,Control,110.00000000000001
1,137.6,Control,84.39999999999999
1,113.60000000000001,Control,60.400000000000006
1,100.80000000000001,Control,47.60000000000001
1,131.20000000000002,Control,78.00000000000001
1,115.2,Control,62.0
1,136.0,Control,82.8
1,102.4,Control,49.2
1,121.60000000000001,Control,68.4
1,160.0,Control,106.8
1,190.4,Control,137.2
1,214.4,Control,161.2
1,195.20000000000002,Control,142.0
1,177.60000000000002,Control,124.40000000000002
1,156.8,Control,103.60000000000001
1,211.20000000000002,Control,158.0
1,131.20000000000002,Control,78.00000000000001
1,118.4,Control,65.2
1,120.0,Control,66.8
1,115.2,Control,62.0
1,108.80000000000001,Control,55.60000000000001
1,112.0,Control,58.8
1,97.60000000000001,Control,44.400000000000006
1,99.2,Control,46.0
1,180.8,Control,127.60000000000001
2,192.0,Control,137.6
2,204.8,Control,150.4
2,315.20000000000005,Control,260.80000000000007
2,187.20000000000002,Control,132.8
2,145.6,Control,91.19999999999999
2,121.60000000000001,Control,67.2
2,99.2,Control,44.8
2,166.4,Control,112.0
2,107.2,Control,52.8
2,94.4,Control,40.0
2,68.8,Control,14.399999999999991
2,68.8,Control,14.399999999999991
2,92.80000000000001,Control,38.400000000000006
2,108.80000000000001,Control,54.400000000000006
2,112.0,Control,57.599999999999994
2,129.6,Control,75.19999999999999
2,116.80000000000001,Control,62.400000000000006
2,134.4,Control,80.0
2,158.4,Control,104.0
2,153.60000000000002,Control,99.20000000000002
2,155.20000000000002,Control,100.80000000000001
2,184.0,Control,129.6
2,291.2,Control,236.79999999999998
2,88.0,Control,33.599999999999994
2,67.2,Control,12.799999999999997
2,81.60000000000001,Control,27.200000000000003
2,57.6,Control,3.1999999999999957
2,89.60000000000001,Control,35.2
2,112.0,Control,58.8
2,160.0,Control,106.8
2,112.0,Control,58.8
2,158.4,Control,105.2
2,132.8,Control,79.60000000000001
2,156.8,Control,103.60000000000001
2,131.20000000000002,Control,78.00000000000001
2,128.0,Control,74.8
2,166.4,Control,113.2
2,91.2,Control,38.0
2,78.4,Control,25.200000000000003
2,68.8,Control,15.599999999999994
2,70.4,Control,17.200000000000003
2,84.80000000000001,Control,31.60000000000001
2,89.60000000000001,Control,36.400000000000006
2,126.4,Control,73.2
2,134.4,Control,81.2
2,129.6,Control,76.39999999999999
2,134.4,Control,81.2
2,123.2,Control,70.0
2,102.4,Control,49.2
2,83.2,Control,30.0
2,62.400000000000006,Control,9.200000000000003
2,78.4,Control,25.200000000000003
2,65.60000000000001,Control,12.400000000000006
2,80.0,Control,26.799999999999997
2,62.400000000000006,Control,9.200000000000003
2,96.0,Control,42.8
2,107.2,Control,54.0
2,126.4,Control,73.2
2,161.60000000000002,Control,108.40000000000002
2,142.4,Control,88.4
2,164.8,Control,110.80000000000001
2,152.0,Control,98.0
2,153.60000000000002,Control,99.60000000000002
2,113.60000000000001,Control,59.60000000000001
2,97.60000000000001,Control,43.60000000000001
2,102.4,Control,48.400000000000006
2,76.80000000000001,Control,22.80000000000001
2,73.60000000000001,Control,19.60000000000001
2,60.800000000000004,Control,6.800000000000004
2,92.80000000000001,Control,38.80000000000001
2,105.60000000000001,Control,51.60000000000001
2,92.80000000000001,Control,38.80000000000001
2,160.0,Control,106.0
2,139.20000000000002,Control,85.20000000000002
2,153.60000000000002,Control,99.60000000000002
2,112.0,Control,58.0
2,136.0,Control,82.0
2,126.4,Control,72.4
2,155.20000000000002,Control,101.20000000000002
2,176.0,Control,122.0
2,212.8,Control,158.8
2,248.0,Control,194.0
2,214.4,Control,160.4
2,131.20000000000002,Control,77.20000000000002
2,126.4,Control,72.4
2,104.0,Control,50.0
2,99.2,Control,45.2
2,75.2,Control,21.200000000000003
2,73.60000000000001,Control,19.60000000000001
2,65.60000000000001,Control,11.600000000000009
2,51.2,Control,0.0
2,96.0,Control,42.0
2,118.4,Control,64.4
2,148.8,Control,94.80000000000001
2,163.20000000000002,Control,109.20000000000002
2,179.20000000000002,Control,125.20000000000002
2,164.8,Control,110.80000000000001
2,144.0,Control,90.0
2,97.60000000000001,Control,43.60000000000001
2,112.0,Control,58.0
2,142.4,Control,88.4
2,113.60000000000001,Control,59.60000000000001
2,204.8,Control,150.8
2,244.8,Control,190.8
2,310.40000000000003,Control,256.40000000000003
2,244.8,Control,190.8
2,209.60000000000002,Control,155.60000000000002
2,184.0,Control,130.0
2,198.4,Control,144.4
2,155.20000000000002,Control,101.20000000000002
2,148.8,Control,94.80000000000001
2,158.4,Control,104.4
2,198.4,Control,144.4
2,275.2,Control,221.2
2,206.4,Control,152.4
2,166.4,Control,112.4
2,142.4,Control,88.4
2,177.60000000000002,Control,123.60000000000002
2,225.60000000000002,Control,171.60000000000002
2,259.2,Control,205.2
2,384.0,Control,330.0
2,313.6,Control,259.6
2,318.40000000000003,Control,264.40000000000003
2,256.0,Control,202.0
2,217.60000000000002,Control,163.60000000000002
2,216.0,Control,162.0
2,235.20000000000002,Control,181.20000000000002
2,204.8,Control,150.8
2,177.60000000000002,Control,123.60000000000002
2,246.4,Control,192.4
2,140.8,Control,86.80000000000001
2,145.6,Control,91.6
2,129.6,Control,75.6
2,112.0,Control,58.0
2,96.0,Control,42.0
2,112.0,Control,58.0
2,121.60000000000001,Control,67.60000000000001
2,132.8,Control,78.80000000000001
2,160.0,Control,106.0
2,200.0,Control,146.0
2,222.4,Control,168.4
2,241.60000000000002,Control,187.60000000000002
2,243.20000000000002,Control,189.20000000000002
2,185.60000000000002,Control,131.60000000000002
2,193.60000000000002,Control,139.60000000000002
2,156.8,Control,102.80000000000001
2,152.0,Control,98.0
2,180.8,Control,126.80000000000001
2,124.80000000000001,Control,70.80000000000001
2,124.80000000000001,Control,70.80000000000001
2,102.4,Control,48.400000000000006
2,116.80000000000001,Control,62.80000000000001
2,108.80000000000001,Control,54.80000000000001
2,150.4,Control,96.4
2,132.8,Control,78.80000000000001
2,198.4,Control,144.4
2,204.8,Control,150.8
2,193.60000000000002,Control,139.60000000000002
2,206.4,Control,152.4
2,228.8,Control,174.8
2,252.8,Control,198.8
2,281.6,Control,227.60000000000002
2,259.2,Control,205.2
2,288.0,Control,234.0
2,180.8,Control,126.80000000000001
2,172.8,Control,118.80000000000001
2,148.8,Control,94.80000000000001
2,97.60000000000001,Control,43.60000000000001
2,123.2,Control,69.2
2,110.4,Control,56.400000000000006
2,123.2,Control,69.2
2,153.60000000000002,Control,99.60000000000002
2,185.60000000000002,Control,131.60000000000002
2,200.0,Control,146.0
2,228.8,Control,174.8
2,228.8,Control,174.8
2,217.60000000000002,Control,163.60000000000002
2,192.0,Control,138.0
2,176.0,Control,122.0
2,139.20000000000002,Control,85.20000000000002
2,139.20000000000002,Control,85.20000000000002
2,225.60000000000002,Control,171.60000000000002
2,275.2,Control,221.2
2,291.2,Control,237.2
2,251.20000000000002,Control,197.20000000000002
2,228.8,Control,174.8
2,193.60000000000002,Control,139.60000000000002
2,198.4,Control,144.4
2,161.60000000000002,Control,107.60000000000002
2,126.4,Control,72.4
2,128.0,Control,74.0
2,150.4,Control,96.4
2,137.6,Control,83.6
2,120.0,Control,66.0
2,115.2,Control,61.2
2,179.20000000000002,Control,125.20000000000002
2,227.20000000000002,Control,173.20000000000002
2,299.2,Control,245.2
2,310.40000000000003,Control,256.40000000000003
2,316.8,Control,262.4
2,276.8,Control,222.4
2,243.20000000000002,Control,188.8
2,208.0,Control,153.6
2,193.60000000000002,Control,139.20000000000002
2,177.60000000000002,Control,123.20000000000002
2,172.8,Control,118.4
2,158.4,Control,104.0
2,128.0,Control,73.6
2,124.80000000000001,Control,70.4
2,140.8,Control,86.4
2,131.20000000000002,Control,76.80000000000001
2,156.8,Control,102.4
2,147.20000000000002,Control,92.80000000000001
2,190.4,Control,136.0
2,112.0,Control,57.599999999999994
2,158.4,Control,104.0
2,174.4,Control,120.0
3,60.800000000000004,Control,6.399999999999999
3,78.4,Control,24.0
3,107.2,Control,52.8
3,161.60000000000002,Control,107.20000000000002
3,169.60000000000002,Control,115.20000000000002
3,203.20000000000002,Control,148.8
3,257.6,Control,203.20000000000002
3,318.40000000000003,Control,264.0
3,316.8,Control,262.4
3,400.0,Control,345.6
3,368.0,Control,313.6
3,304.0,Control,249.6
3,184.0,Control,129.6
3,160.0,Control,105.6
3,161.60000000000002,Control,107.20000000000002
3,180.8,Control,126.4
3,123.2,Control,70.0
3,120.0,Control,66.8
3,148.8,Control,95.60000000000001
3,144.0,Control,90.8
3,134.4,Control,81.2
3,185.60000000000002,Control,132.40000000000003
3,171.20000000000002,Control,118.00000000000001
3,168.0,Control,114.8
3,145.6,Control,92.39999999999999
3,147.20000000000002,Control,94.00000000000001
3,118.4,Control,65.2
3,92.80000000000001,Control,39.60000000000001
3,72.0,Control,18.799999999999997
3,94.4,Control,41.2
3,105.60000000000001,Control,52.400000000000006
3,126.4,Control,73.2
3,193.60000000000002,Control,140.40000000000003
3,249.60000000000002,Control,196.40000000000003
3,302.40000000000003,Control,249.20000000000005
3,224.0,Control,170.8
3,201.60000000000002,Control,148.40000000000003
3,176.0,Control,122.8
3,140.8,Control,87.60000000000001
3,158.4,Control,105.2
3,148.8,Control,95.60000000000001
3,145.6,Control,92.39999999999999
3,158.4,Control,105.2
3,176.0,Control,122.8
3,120.0,Control,66.8
3,100.80000000000001,Control,47.60000000000001
3,92.80000000000001,Control,39.60000000000001
3,108.80000000000001,Control,55.60000000000001
3,76.80000000000001,Control,23.60000000000001
3,96.0,Control,42.8
3,107.2,Control,54.0
3,105.60000000000001,Control,51.2
3,145.6,Control,91.19999999999999
3,179.20000000000002,Control,124.80000000000001
3,144.0,Control,89.6
3,200.0,Control,145.6
3,164.8,Control,110.4
3,244.8,Control,190.4
3,206.4,Control,152.0
3,176.0,Control,121.6
3,140.8,Control,86.4
3,116.80000000000001,Control,62.400000000000006
3,148.8,Control,94.4
3,116.80000000000001,Control,62.400000000000006
3,97.60000000000001,Control,43.2
3,84.80000000000001,Control,30.400000000000006
3,88.0,Control,33.599999999999994
3,100.80000000000001,Control,46.400000000000006
3,112.0,Control,57.599999999999994
3,118.4,Control,64.0
3,185.60000000000002,Control,131.20000000000002
3,182.4,Control,128.0
3,209.60000000000002,Control,155.20000000000002
3,225.60000000000002,Control,171.20000000000002
3,153.60000000000002,Control,99.20000000000002
3,134.4,Control,80.0
3,120.0,Control,65.6
3,97.60000000000001,Control,43.2
3,83.2,Control,28.799999999999997
3,88.0,Control,33.599999999999994
3,102.4,Control,48.0
3,142.4,Control,88.0
3,145.6,Control,91.19999999999999
3,219.20000000000002,Control,164.8
3,264.0,Control,209.6
3,313.6,Control,259.20000000000005
3,184.0,Control,129.6
3,219.20000000000002,Control,164.8
3,169.60000000000002,Control,115.20000000000002
3,204.8,Control,150.4
3,228.8,Control,174.4
3,259.2,Control,204.79999999999998
3,283.2,Control,228.79999999999998
3,265.6,Control,211.20000000000002
3,305.6,Control,251.20000000000002
3,243.20000000000002,Control,188.8
3,219.20000000000002,Control,164.8
3,196.8,Control,142.4
3,179.20000000000002,Control,124.80000000000001
3,164.8,Control,110.4
3,140.8,Control,86.4
3,113.60000000000001,Control,59.2
3,70.4,Control,16.0
3,97.60000000000001,Control,43.2
3,121.60000000000001,Control,67.2
3,144.0,Control,89.6
3,148.8,Control,94.4
3,142.4,Control,88.0
3,158.4,Control,104.0
3,188.8,Control,134.4
3,192.0,Control,137.6
3,212.8,Control,158.4
3,241.60000000000002,Control,187.20000000000002
3,232.0,Control,177.6
3,230.4,Control,176.0
3,220.8,Control,166.4
3,244.8,Control,190.4
3,195.20000000000002,Control,141.20000000000002
3,177.60000000000002,Control,123.60000000000002
3,193.60000000000002,Control,139.60000000000002
3,179.20000000000002,Control,125.20000000000002
3,318.40000000000003,Control,264.40000000000003
3,441.6,Control,387.6
3,99.2,Control,45.2
3,113.60000000000001,Control,59.60000000000001
3,180.8,Control,126.80000000000001
3,216.0,Control,162.0
3,257.6,Control,203.60000000000002
3,283.2,Control,229.2
3,275.2,Control,221.2
3,312.0,Control,258.0
3,424.0,Control,370.0
3,390.40000000000003,Control,336.40000000000003
3,419.20000000000005,Control,365.20000000000005
3,476.8,Control,422.8
3,376.0,Control,322.0
3,390.40000000000003,Control,336.40000000000003
3,305.6,Control,251.60000000000002
3,339.20000000000005,Control,285.20000000000005
3,284.8,Control,230.8
3,278.40000000000003,Control,224.40000000000003
3,337.6,Control,283.6
3,222.4,Control,168.4
3,246.4,Control,192.4
