day,distance,condition,fixed_distance
1,72.45,Control,26.910000000000004
1,66.01,Control,20.470000000000006
1,59.57,Control,14.030000000000001
1,59.57,Control,14.030000000000001
1,66.01,Control,20.470000000000006
1,59.57,Control,14.030000000000001
1,57.96,Control,12.420000000000002
1,61.18000000000001,Control,15.640000000000008
1,75.67,Control,30.130000000000003
1,64.4,Control,18.860000000000007
1,57.96,Control,12.420000000000002
1,74.06,Control,28.520000000000003
1,80.5,Control,34.96
1,75.67,Control,30.130000000000003
1,70.84,Control,25.300000000000004
1,77.28,Control,31.740000000000002
1,67.62,Control,22.080000000000005
1,64.4,Control,18.860000000000007
1,57.96,Control,12.420000000000002
1,78.89,Control,33.35
1,70.84,Control,25.300000000000004
1,69.23,Control,23.690000000000005
1,72.45,Control,26.910000000000004
1,67.62,Control,22.080000000000005
1,86.94000000000001,Control,41.40000000000001
1,101.43,Control,55.89000000000001
1,103.04,Control,57.50000000000001
1,88.55000000000001,Control,43.01000000000001
1,138.46,Control,92.92000000000002
1,88.55000000000001,Control,43.01000000000001
1,88.55000000000001,Control,43.01000000000001
1,90.16000000000001,Control,44.62000000000001
1,112.7,Control,67.16
1,106.26,Control,60.720000000000006
1,93.38000000000001,Control,47.84000000000001
1,101.43,Control,55.89000000000001
1,107.87,Control,62.330000000000005
1,115.92,Control,70.38
1,91.77000000000001,Control,46.23000000000001
1,101.43,Control,55.89000000000001
1,98.21000000000001,Control,52.67000000000001
1,119.14,Control,73.6
1,91.77000000000001,Control,46.23000000000001
1,90.16000000000001,Control,44.62000000000001
1,91.77000000000001,Control,46.23000000000001
1,280.14000000000004,Control,234.60000000000005
1,93.38000000000001,Control,47.84000000000001
1,88.55000000000001,Control,43.01000000000001
1,93.38000000000001,Control,47.84000000000001
1,83.72,Control,38.18
1,149.73000000000002,Control,104.19000000000003
1,141.68,Control,96.14000000000001
1,178.71,Control,133.17000000000002
1,61.18000000000001,Control,15.640000000000008
1,64.4,Control,18.860000000000007
1,67.62,Control,22.080000000000005
1,72.45,Control,26.910000000000004
1,72.45,Control,26.910000000000004
1,70.84,Control,25.300000000000004
1,75.67,Control,30.130000000000003
1,74.06,Control,28.520000000000003
1,75.67,Control,30.130000000000003
1,72.45,Control,26.910000000000004
1,77.28,Control,31.740000000000002
1,80.5,Control,34.96
1,80.5,Control,34.96
1,88.55000000000001,Control,43.01000000000001
1,78.89,Control,33.35
1,80.5,Control,34.96
1,82.11,Control,36.57
1,75.67,Control,30.130000000000003
1,82.11,Control,36.57
1,54.74,Control,9.200000000000003
1,49.910000000000004,Control,4.3700000000000045
1,49.910000000000004,Control,4.3700000000000045
1,188.37,Control,142.83
1,135.24,Control,89.70000000000002
1,107.87,Control,62.330000000000005
1,69.23,Control,23.690000000000005
1,61.18000000000001,Control,15.640000000000008
1,56.35,Control,10.810000000000002
1,135.24,Control,89.70000000000002
1,96.60000000000001,Control,51.06000000000001
1,59.57,Control,14.030000000000001
1,61.18000000000001,Control,15.640000000000008
1,136.85,Control,91.31
1,146.51000000000002,Control,100.97000000000003
1,127.19000000000001,Control,81.65
1,133.63,Control,88.09
