day,distance,condition,fixed_distance
1,144.9,Control,116.3225
1,180.32000000000002,Control,151.7425
1,111.09,Control,82.5125
1,78.89,Control,50.3125
1,67.62,Control,39.042500000000004
1,46.690000000000005,Control,18.1125
1,28.98,Control,0.4024999999999963
1,85.33,Control,56.7525
1,98.21000000000001,Control,69.63250000000001
1,98.21000000000001,Control,69.63250000000001
1,90.16000000000001,Control,61.58250000000001
1,64.4,Control,35.822500000000005
1,51.52,Control,22.9425
1,51.52,Control,22.9425
1,77.28,Control,48.7025
1,64.4,Control,35.822500000000005
1,80.5,Control,51.9225
1,70.84,Control,42.2625
1,46.690000000000005,Control,18.1125
1,66.01,Control,37.432500000000005
1,59.57,Control,30.992499999999996
1,94.99000000000001,Control,66.41250000000001
1,90.16000000000001,Control,61.58250000000001
1,64.4,Control,35.822500000000005
1,43.470000000000006,Control,14.892500000000002
1,33.81,Control,5.232499999999998
1,32.2,Control,3.6224999999999987
1,56.35,Control,27.772499999999997
1,57.96,Control,29.382499999999997
1,85.33,Control,56.7525
1,82.11,Control,53.5325
1,107.87,Control,79.2925
1,80.5,Control,51.9225
1,37.03,Control,8.452499999999997
1,67.62,Control,39.042500000000004
1,54.74,Control,26.162499999999998
1,74.06,Control,45.4825
1,117.53,Control,88.9525
1,66.01,Control,37.432500000000005
1,43.470000000000006,Control,14.892500000000002
1,16.1,Control,0.0
1,61.18000000000001,Control,32.602500000000006
1,43.470000000000006,Control,14.892500000000002
1,66.01,Control,37.432500000000005
1,141.68,Control,113.1025
1,122.36000000000001,Control,93.78250000000001
1,114.31,Control,85.7325
1,125.58000000000001,Control,97.00250000000001
1,177.10000000000002,Control,148.5225
1,210.91000000000003,Control,182.3325
1,128.8,Control,100.22250000000001
1,165.83,Control,137.2525
1,130.41,Control,101.8325
1,98.21000000000001,Control,69.63250000000001
1,56.35,Control,27.772499999999997
1,38.64,Control,10.062499999999996
1,80.5,Control,51.9225
1,90.16000000000001,Control,61.58250000000001
1,96.60000000000001,Control,68.02250000000001
1,101.43,Control,72.8525
1,67.62,Control,39.042500000000004
1,74.06,Control,45.4825
1,41.86,Control,13.282499999999995
1,66.01,Control,37.432500000000005
1,83.72,Control,55.1425
1,82.11,Control,53.5325
1,70.84,Control,42.2625
1,66.01,Control,37.432500000000005
1,82.11,Control,53.5325
1,46.690000000000005,Control,18.1125
1,28.98,Control,0.4024999999999963
1,43.470000000000006,Control,14.892500000000002
1,72.45,Control,43.8725
1,114.31,Control,86.94
1,135.24,Control,107.87
1,123.97000000000001,Control,96.60000000000001
1,77.28,Control,49.91
1,69.23,Control,41.86
1,54.74,Control,27.37
1,38.64,Control,11.27
1,25.76,Control,0.0
1,62.790000000000006,Control,35.42
1,78.89,Control,51.519999999999996
1,66.01,Control,38.64
1,99.82000000000001,Control,72.45
1,104.65,Control,77.28
1,75.67,Control,48.3
1,38.64,Control,11.27
1,69.23,Control,41.86
1,45.080000000000005,Control,17.710000000000004
1,51.52,Control,24.150000000000002
1,75.67,Control,48.3
1,59.57,Control,32.2
1,98.21000000000001,Control,70.84
1,111.09,Control,83.72
1,103.04,Control,75.67
1,77.28,Control,49.91
1,53.13,Control,25.76
1,35.42,Control,8.05
1,22.540000000000003,Control,0.0
1,37.03,Control,9.66
1,27.37,Control,0.0
1,61.18000000000001,Control,33.81
1,49.910000000000004,Control,22.540000000000003
1,72.45,Control,45.08
1,96.60000000000001,Control,69.23
1,83.72,Control,56.349999999999994
1,123.97000000000001,Control,96.60000000000001
1,143.29000000000002,Control,115.92000000000002
1,159.39000000000001,Control,130.8125
1,138.46,Control,109.88250000000001
1,125.58000000000001,Control,97.00250000000001
1,82.11,Control,53.5325
1,115.92,Control,87.3425
1,93.38000000000001,Control,64.80250000000001
1,75.67,Control,47.0925
1,83.72,Control,55.1425
1,86.94000000000001,Control,58.36250000000001
1,85.33,Control,57.959999999999994
1,80.5,Control,53.129999999999995
1,49.910000000000004,Control,22.540000000000003
1,40.25,Control,12.879999999999999
1,61.18000000000001,Control,33.81
1,61.18000000000001,Control,33.81
1,57.96,Control,30.59
1,67.62,Control,40.25
1,40.25,Control,12.879999999999999
1,45.080000000000005,Control,17.710000000000004
1,88.55000000000001,Control,61.18000000000001
1,72.45,Control,45.08
1,78.89,Control,51.519999999999996
1,74.06,Control,46.69
1,54.74,Control,27.37
1,41.86,Control,14.489999999999998
1,57.96,Control,30.59
1,49.910000000000004,Control,22.540000000000003
1,30.590000000000003,Control,3.2200000000000024
1,33.81,Control,6.440000000000001
1,59.57,Control,32.2
1,94.99000000000001,Control,67.62
1,120.75000000000001,Control,93.38000000000001
1,57.96,Control,30.59
1,74.06,Control,46.69
1,51.52,Control,24.150000000000002
1,75.67,Control,48.3
1,109.48,Control,82.11
1,132.02,Control,104.65
1,185.15,Control,157.78
1,125.58000000000001,Control,98.21000000000001
1,162.61,Control,135.24
2,173.88000000000002,Control,146.51000000000002
2,75.67,Control,48.3
2,53.13,Control,25.76
2,83.72,Control,56.349999999999994
2,120.75000000000001,Control,93.38000000000001
2,125.58000000000001,Control,98.21000000000001
2,141.68,Control,114.31
2,156.17000000000002,Control,128.8
2,144.9,Control,117.53
2,193.20000000000002,Control,165.83
2,170.66,Control,143.29
2,127.19000000000001,Control,99.82000000000001
2,149.73000000000002,Control,122.36000000000001
